0
(0.0380948 14 22 5 , 0.10914 14 22 6)
(0.107305 10 23 9 , 0.109621 10 24 9)
(0.0901272 15 29 18 , 0.10986 16 29 19)
(0.00345981 11 26 16 , 0.110527 11 26 15)
(0.0402985 12 16 22 , 0.110973 13 16 22)
(0.0975685 3 18 18 , 0.111081 3 17 18)
(0.0855016 7 9 26 , 0.111519 7 9 25)
(0.0908122 10 7 17 , 0.111867 10 7 16)
(0.0197685 15 28 14 , 0.112655 16 28 15)
(0.0852327 22 12 26 , 0.113127 22 13 26)
(0.0890137 3 1 1 , 0.113689 3 1 2)
(0.077811 5 7 10 , 0.114034 5 8 10)
(0.0377023 5 7 19 , 0.114204 5 8 20)
(0.106079 11 15 21 , 0.114741 11 15 20)
(0.0758515 9 19 10 , 0.11476 10 19 10)
(0.0438798 12 22 0 , 0.114839 13 22 0)
(0.0319081 4 8 6 , 0.116898 4 8 5)
(0.0895102 26 27 16 , 0.117511 27 28 16)
(0.0495957 24 21 21 , 0.118481 24 22 21)
(0.0695496 20 6 22 , 0.119092 22 6 22)
(0.0394019 6 6 29 , 0.119186 7 6 29)
(0.0816363 7 7 29 , 0.119186 7 6 29)
(0.0612 12 13 27 , 0.119832 12 12 27)
(0.0257594 11 12 11 , 0.119881 11 11 11)
(0.0649334 27 2 18 , 0.120334 27 1 18)
(0.11023 28 13 25 , 0.12035 28 12 25)
(0.0586711 16 16 27 , 0.120535 16 16 28)
(0.102174 15 14 9 , 0.120786 15 15 9)
(0.0578099 13 5 17 , 0.121736 13 5 16)
(0.0594709 27 6 27 , 0.121951 28 6 27)
(0.113103 16 25 5 , 0.123155 17 25 5)
(0.034606 17 24 5 , 0.123155 17 25 5)
(0.108084 11 18 7 , 0.123542 11 18 8)
(0.0682774 26 24 25 , 0.123924 27 24 25)
(0.0484629 0 0 14 , 0.124962 0 1 14)
(0.103311 15 29 20 , 0.125053 15 29 19)
(0.0960017 12 7 16 , 0.125302 11 7 16)
(0.0738386 11 29 18 , 0.125395 11 28 18)
(0.0440313 10 28 18 , 0.125395 11 28 18)
(0.0862452 21 18 20 , 0.126145 21 18 21)
(0.0673051 13 7 28 , 0.128242 13 7 27)
(0.114223 7 7 27 , 0.129024 7 7 26)
(0.107055 10 6 25 , 0.129178 10 6 26)
(0.101568 22 12 13 , 0.130252 21 12 13)
(0.126504 5 9 8 , 0.130531 5 9 9)
(0.11835 22 11 10 , 0.130719 22 11 11)
(0.104986 21 17 13 , 0.130763 20 17 13)
(0.0926367 0 5 19 , 0.130919 0 5 18)
(0.0568291 2 19 19 , 0.131101 2 19 20)
(0.0674251 8 9 28 , 0.13158 8 8 28)
(0.0575301 21 10 29 , 0.131768 22 10 29)
(0.0812388 10 16 25 , 0.132087 10 15 25)
(0.0500955 26 20 22 , 0.132257 25 20 22)
(0.130076 4 28 5 , 0.132315 3 28 5)
(0.0647961 17 15 11 , 0.132383 16 15 12)
(0.0492041 27 22 8 , 0.132797 27 23 8)
(0.105083 25 7 27 , 0.132888 25 7 28)
(0.0419917 28 28 17 , 0.133456 28 27 17)
(0.09956 0 2 19 , 0.134005 0 2 18)
(0.0351872 0 5 1 , 0.135403 0 6 2)
(0.0683114 11 16 6 , 0.136059 11 17 6)
(0.106068 21 23 16 , 0.136076 22 23 16)
(0.0602794 28 3 9 , 0.136567 27 3 10)
(0.0663888 13 23 26 , 0.138474 13 22 25)
(0.0175317 11 28 26 , 0.139249 12 27 25)
(0.0196313 19 27 28 , 0.139315 19 27 26)
(0.0568631 9 28 11 , 0.139368 9 27 11)
(0.12814 2 22 23 , 0.13978 2 23 23)
(0.0948183 0 28 4 , 0.140784 0 28 5)
(0.0463858 9 15 6 , 0.141475 9 15 5)
(0.0868538 18 20 1 , 0.142222 17 20 1)
(0.117368 1 10 16 , 0.142617 1 10 17)
(0.106572 20 2 17 , 0.142939 21 2 17)
(0.125696 2 4 4 , 0.143382 1 4 4)
(0.0766322 28 1 12 , 0.143888 28 0 12)
(0.0427623 29 0 4 , 0.144013 29 0 5)
(0.124976 6 10 6 , 0.144543 6 9 6)
(0.0975933 9 1 22 , 0.144757 9 1 21)
(0.0895176 12 21 9 , 0.144836 12 22 9)
(0.128382 18 7 17 , 0.14509 18 7 16)
(0.0994896 29 2 27 , 0.145311 29 3 27)
(0.137019 6 14 24 , 0.145331 7 14 24)
(0.0735302 10 12 10 , 0.145477 11 12 10)
(0.0524066 18 6 22 , 0.145543 18 5 21)
(0.04383 18 29 21 , 0.14589 18 29 20)
(0.0915087 29 27 4 , 0.146137 28 27 4)
(0.0215849 26 19 5 , 0.146243 26 18 5)
(0.144891 12 8 25 , 0.146597 13 8 25)
(0.0729325 11 13 1 , 0.146695 10 13 1)
(0.136564 14 23 8 , 0.147118 13 23 8)
(0.0510954 18 5 27 , 0.147724 18 4 27)
(0.074316 12 0 20 , 0.147843 12 2 20)
(0.0410518 12 2 19 , 0.147843 12 2 20)
(0.0950631 12 3 20 , 0.147843 12 2 20)
(0.0982483 24 3 26 , 0.148222 23 3 26)
(0.0643433 22 21 24 , 0.149137 22 21 23)
(0.0781143 5 16 13 , 0.149295 4 16 13)
(0.123395 24 17 4 , 0.149391 24 18 5)
(0.0122907 4 3 12 , 0.149825 4 3 13)
(0.143154 0 16 13 , 0.150064 0 15 13)
