0
(0.0750009 12 25 7 , 0.112528 12 25 8) - (0.0854799 12 24 7 , 0.363318 11 23 7)
(0.0615102 27 0 23 , 0.582407 28 0 23) - (0.125233 26 2 22 , 0.153402 26 2 23)
(0.0441215 5 27 18 , 0.251795 6 28 17) - (0.0500398 5 29 18 , 0.373939 4 29 17)
(0.0556433 24 29 23 , 0.637047 25 29 23) - (0.0178083 25 25 22 , 0.295863 25 25 24)
(0.0289947 9 29 9 , 0.231885 9 27 6) - (0.0408567 12 27 7 , 0.248301 11 27 7)
(0.0537025 6 12 29 , 0.364446 6 12 28) - (0.0739919 7 12 29 , 0.441489 6 12 29)
(0.0423733 16 1 17 , 0.193521 17 1 17) - (0.107798 18 2 17 , 0.132223 18 2 18)
(0.0471255 17 3 18 , 0.113907 17 2 18) - (0.0634317 17 4 18 , 0.333193 16 5 17)
(0.0244976 22 7 17 , 0.114123 23 8 17) - (0.108552 23 8 19 , 0.327316 23 8 17)
(0.0480318 9 27 10 , 0.145549 8 27 10) - (0.0267506 11 28 11 , 0.323894 11 29 11)
(0.101961 13 13 28 , 0.114199 12 13 28) - (0.353652 13 13 28 , 0.402652 13 14 28)
(0.0881521 6 28 29 , 0.292972 7 28 29) - (0.0343548 8 28 28 , 0.436854 8 28 27)
(0.11479 8 14 6 , 0.367034 7 14 6) - (0.0394238 8 14 5 , 0.369735 7 14 4)
(0.014499 1 1 6 , 0.114807 3 1 6) - (0.0768944 2 2 5 , 0.309129 4 1 4)
(0.179475 7 23 18 , 0.3984 7 24 18) - (0.00458301 7 20 20 , 0.191785 6 22 20)
(0.321911 18 14 29 , 0.33576 17 14 29) - (0.0450181 18 14 29 , 0.115258 18 13 29)
(0.0622232 23 6 13 , 0.115482 23 5 13) - (0.066672 26 4 12 , 0.183191 27 4 12)
(0.0189792 26 3 11 , 0.283501 25 4 11) - (0.0811687 29 2 11 , 0.172438 29 1 11)
(0.0250628 21 16 18 , 0.241426 21 18 18) - (0.029462 20 17 17 , 0.192528 21 16 17)
(0.0114516 8 16 11 , 0.325648 8 17 11) - (0.0074726 7 16 9 , 0.318342 9 11 5)
(0.017361 9 16 12 , 0.322921 10 17 11) - (0.0144196 9 16 13 , 0.252541 9 18 13)
(0.0296249 10 18 19 , 0.30526 10 18 20) - (0.00905101 10 16 19 , 0.177655 12 16 18)
