0
(0.13254 2 27 2 , 0.134726 2 28 2)
(0.0157169 10 26 4 , 0.135267 10 26 2)
(0.0219666 6 25 14 , 0.135545 6 24 14)
(0.113561 9 26 23 , 0.135693 10 26 23)
(0.118376 18 23 3 , 0.135897 18 23 2)
(0.1041 3 14 13 , 0.136 3 14 12)
(0.0969914 24 12 21 , 0.136137 24 12 22)
(0.0262273 17 1 16 , 0.13648 17 2 16)
(0.0650359 0 27 16 , 0.136575 0 27 17)
(0.130537 12 13 10 , 0.136594 11 13 10)
(0.0405935 2 7 19 , 0.137192 2 6 17)
(0.0836961 7 15 2 , 0.13736 8 15 2)
(0.104065 22 19 11 , 0.137416 21 19 11)
(0.135829 3 22 17 , 0.138494 3 22 18)
(0.0614017 1 4 11 , 0.138543 1 3 11)
(0.0780016 17 18 21 , 0.138744 17 19 21)
(0.0843274 13 15 25 , 0.138917 12 16 25)
(0.129314 6 15 6 , 0.138932 6 16 6)
(0.0989187 27 8 9 , 0.139172 26 8 9)
(0.0404368 22 3 29 , 0.139327 22 3 27)
(0.099798 11 24 22 , 0.139535 11 25 22)
(0.0308732 15 9 3 , 0.139546 15 9 4)
(0.0453586 21 5 25 , 0.140673 20 6 26)
(0.057089 29 10 2 , 0.140998 29 11 2)
(0.100377 13 25 12 , 0.141639 13 25 11)
(0.0426957 3 9 19 , 0.141798 3 9 20)
(0.122068 12 26 5 , 0.142045 12 25 5)
(0.044703 19 21 23 , 0.142132 18 22 23)
(0.121768 8 3 11 , 0.142673 8 4 11)
(0.130984 8 4 12 , 0.142673 8 4 11)
(0.0501005 11 17 1 , 0.142891 11 19 2)
(0.0260507 12 19 2 , 0.142891 11 19 2)
(0.120899 12 22 5 , 0.143205 13 22 5)
(0.118122 11 6 18 , 0.144033 10 6 18)
(0.096061 12 18 28 , 0.14408 12 19 28)
(0.10481 25 1 21 , 0.144452 25 0 21)
(0.0856353 8 3 1 , 0.144664 8 4 1)
(0.072293 11 9 18 , 0.145523 11 10 18)
(0.0103689 29 3 7 , 0.145532 29 3 8)
(0.042168 29 4 8 , 0.145532 29 3 8)
(0.0355563 20 28 28 , 0.145534 20 27 28)
(0.0727201 7 27 10 , 0.145549 8 27 10)
(0.101034 8 27 11 , 0.145549 8 27 10)
(0.133371 15 0 25 , 0.145731 15 0 24)
(0.0882777 8 13 20 , 0.145763 8 13 21)
(0.119737 14 26 14 , 0.147354 15 26 14)
(0.0641465 1 5 24 , 0.147387 1 6 24)
(0.0624042 22 18 21 , 0.147578 22 19 22)
(0.0989751 17 20 12 , 0.147781 18 20 12)
(0.139275 18 1 1 , 0.14782 18 2 1)
(0.0973477 19 13 14 , 0.14785 19 13 15)
(0.0635837 0 25 13 , 0.148539 0 24 13)
(0.037761 14 5 28 , 0.14942 14 5 27)
(0.0897934 14 1 14 , 0.149623 14 0 14)
(0.0867623 20 25 17 , 0.150624 19 25 17)
(0.0464277 8 27 9 , 0.151058 8 28 8)
(0.131117 23 19 9 , 0.151534 23 20 9)
(0.0611904 2 28 1 , 0.151553 2 29 0)
(0.0937903 27 25 28 , 0.151562 27 25 29)
(0.031792 16 16 6 , 0.151609 16 16 8)
(0.139348 28 10 11 , 0.151928 28 10 12)
(0.0705622 17 20 29 , 0.15215 18 20 29)
(0.12953 19 20 29 , 0.15215 18 20 29)
(0.140408 14 2 4 , 0.152151 15 2 4)
(0.0688516 14 25 21 , 0.152697 12 25 22)
(0.0659557 5 8 27 , 0.154268 6 9 27)
(0.132736 6 9 28 , 0.154268 6 9 27)
(0.0607907 24 22 28 , 0.154288 24 23 28)
(0.0653595 19 6 19 , 0.154341 19 6 18)
(0.0765147 28 28 24 , 0.154342 29 28 24)
(0.0630028 6 10 12 , 0.154346 7 10 12)
(0.055546 13 20 4 , 0.155375 13 19 4)
(0.0637813 4 29 16 , 0.156019 4 28 16)
(0.133139 23 15 8 , 0.156059 22 15 8)
(0.128222 13 3 12 , 0.15621 13 4 12)
(0.156188 3 8 5 , 0.15635 4 8 5)
(0.11668 4 8 6 , 0.15635 4 8 5)
(0.125066 2 10 22 , 0.156421 3 9 22)
(0.125753 26 3 17 , 0.156558 27 3 17)
(0.150226 16 2 6 , 0.15688 16 3 6)
(0.0164103 11 19 3 , 0.156903 10 18 2)
(0.145249 23 0 24 , 0.157892 23 0 25)
(0.106302 0 28 1 , 0.158202 0 27 1)
(0.100682 23 5 16 , 0.158341 24 5 16)
(0.146115 9 4 14 , 0.158521 9 5 14)
(0.0295022 8 10 13 , 0.158565 8 12 12)
(0.111625 15 19 8 , 0.159273 15 18 8)
(0.107197 7 13 26 , 0.159352 7 13 25)
(0.136614 20 5 5 , 0.159526 21 5 5)
(0.0548415 21 4 5 , 0.159526 21 5 5)
(0.0927313 18 3 26 , 0.159624 18 2 26)
(0.126698 7 1 9 , 0.159731 7 2 9)
(0.0809444 6 20 28 , 0.159737 5 20 28)
(0.0557909 5 7 25 , 0.160127 5 7 26)
(0.114244 11 14 10 , 0.160161 11 13 9)
(0.0590805 0 25 1 , 0.160415 1 26 1)
